	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea
	count	mean	std	min	25%	50%	75%	max
Modelo								
DID1	20.0	5.0986098427116495	2.3601768004640573	0.7907412467222302	3.5096335414272772	4.666785949939603	6.940108317417464	10.218620007411447
DID11	19.0	3.7118296702827167	1.9781132635888101	1.7395616777419252	2.335247690762545	3.2857965703277836	4.530932215799092	9.96007347968251
DID12	25.0	4.278802267703266	1.9473057187125138	1.5011781480585	2.9652727904565412	4.197943786057978	4.804354550111343	9.420097520760772
DID13	25.0	5.097280901949245	3.202798566200835	1.7231337283557544	2.7895876777191546	4.105884048997276	6.358651702166716	14.475352250582498
DID14	25.0	5.192929711932394	3.3626281356046235	1.0746689806074559	2.1087234260463905	5.013198184273561	6.913958734442579	14.749447827353594
DID15	25.0	5.539468485585307	3.1760568452897737	1.2391512752773406	3.7206118271922075	4.895004001616971	6.40510345819683	14.757642936939574
DID16	25.0	3.908583414492223	2.015493699301341	0.8797401043116171	2.6206723411820203	2.957876081754741	5.3818344605510875	7.396299690325242
DID17	22.0	7.06170610941777	4.11000452005485	1.6779253095950013	3.8016768612397156	5.337557160536855	11.334943089392285	14.723841710195272
DID18	25.0	5.868406788705133	3.06069696164367	0.8769736802756228	3.5454626699060716	5.184367769073583	8.589970990530784	11.083254915642543
DID19	24.0	5.385278956428647	3.3978260974630548	0.7397502446388134	3.0523813860869	4.6520953009152075	6.910963016964023	14.222972245249883
DID2	21.0	4.852754948162574	2.611520990352884	1.6010004501945385	2.740718571487457	4.094621923562721	6.9796124507617945	10.135151380883844
DID3	25.0	5.240525806560544	3.099080119392857	1.7630140205529612	3.3212696550454406	4.532718830530736	6.068945027155792	14.452588545007563
DID4	25.0	5.94456512317944	3.034761227994043	2.1224685394711855	3.7593229105789225	5.047334565920372	7.5044568193356636	12.345288175609221
DID6	21.0	6.1030456562239594	3.3172307847350813	0.9503492790990341	3.5519230725565554	5.798853814726227	7.597957202182612	14.350571732695679
DID9	25.0	5.150756810841654	3.052578968915807	1.1665470486808007	2.7882032858777497	3.713569631361392	6.8525789680071725	12.355423517677758
